,Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Extracurricular_Activities,Sleep_Hours,Previous_Scores,Motivation_Level,Internet_Access,Tutoring_Sessions,Family_Income,Teacher_Quality,School_Type,Peer_Influence,Physical_Activity,Learning_Disabilities,Parental_Education_Level,Distance_from_Home,Gender,Exam_Score,id,point_attendance,point_motivation,point_extracurricular_activities,point_previous_scores,total_point
1512,14,83,Medium,Low,Yes,6,82,Medium,Yes,0,Medium,Medium,Public,Positive,2,No,High School,Near,Female,65,260,10,5,10,41.0,131.0
1513,21,88,High,Low,No,7,86,Medium,Yes,1,Low,Medium,Private,Positive,2,No,High School,Moderate,Male,68,2817,10,10,0,43.0,131.0
1514,25,75,Low,High,Yes,8,96,High,Yes,1,Low,Medium,Private,Neutral,0,No,College,Near,Male,68,2669,5,0,10,48.0,131.0
1515,24,84,Medium,Medium,Yes,6,74,Medium,Yes,2,Medium,High,Public,Positive,2,No,High School,Far,Male,69,2035,10,5,10,37.0,131.0
1516,20,83,Medium,Medium,Yes,7,68,High,Yes,1,Medium,Medium,Public,Positive,1,No,High School,Near,Female,67,1516,10,10,10,34.0,131.0
1517,21,95,Medium,Medium,No,5,62,High,Yes,1,Medium,Low,Public,Positive,4,No,High School,Near,Male,70,190,20,10,0,31.0,131.0
1518,18,94,Medium,High,Yes,7,82,Medium,Yes,3,Medium,Medium,Private,Negative,2,Yes,College,Near,Male,70,42,15,-5,10,41.0,131.0
1519,25,98,Low,Medium,No,7,98,Medium,Yes,1,Medium,Medium,Public,Negative,4,No,Postgraduate,Near,Male,72,2832,20,-10,0,49.0,131.0
1520,14,96,Low,High,Yes,9,64,High,Yes,2,Low,High,Public,Neutral,3,No,Postgraduate,Moderate,Male,69,1576,20,0,10,32.0,131.0
1521,19,70,Medium,Low,No,7,54,High,Yes,0,Medium,Medium,Public,Positive,2,Yes,High School,Moderate,Male,89,215,5,10,0,27.0,131.0
1522,9,84,High,High,Yes,7,60,High,Yes,1,Low,Medium,Private,Positive,3,No,College,Moderate,Male,66,2985,10,15,10,30.0,131.0
1523,26,74,Medium,Low,Yes,8,96,Medium,Yes,2,Medium,High,Private,Neutral,3,No,High School,Near,Female,68,6230,5,0,10,48.0,131.0
1524,15,86,High,Medium,Yes,9,68,High,Yes,0,Medium,Low,Public,Neutral,3,No,High School,Near,Male,67,4299,10,10,10,34.0,131.0
1525,22,98,Medium,Low,Yes,7,52,Medium,No,3,Medium,Medium,Public,Positive,3,No,College,Near,Female,70,69,20,5,10,26.0,131.0
1526,23,68,High,Medium,Yes,6,86,Medium,Yes,0,Medium,Medium,Public,Positive,2,No,Postgraduate,Near,Male,68,4093,0,10,10,43.0,131.0
1527,18,97,Medium,Low,No,9,88,Medium,Yes,0,Low,Medium,Public,Neutral,4,No,High School,Moderate,Female,67,5882,20,0,0,44.0,131.0
1528,19,96,Medium,Medium,Yes,7,54,High,Yes,1,Low,Medium,Public,Neutral,3,No,College,Near,Male,69,5688,20,5,10,27.0,131.0
1529,26,86,Low,High,Yes,7,82,Medium,Yes,2,Low,Medium,Private,Positive,3,No,High School,Moderate,Female,70,6038,10,0,10,41.0,131.0
1530,29,63,Medium,High,Yes,8,94,Medium,Yes,0,Medium,High,Private,Positive,2,No,Postgraduate,Near,Female,69,2063,0,5,10,47.0,131.0
1531,24,81,Medium,Medium,Yes,6,85,Medium,No,1,Medium,High,Public,Neutral,4,No,College,Moderate,Male,68,2160,10,0,10,42.5,130.5
1532,14,62,Medium,Medium,Yes,7,97,High,Yes,0,Medium,Medium,Public,Positive,1,No,High School,Moderate,Male,62,5031,0,10,10,48.5,130.5
1533,35,85,Medium,High,Yes,6,73,High,Yes,1,High,Medium,Public,Negative,5,No,High School,Moderate,Female,74,595,10,0,10,36.5,130.5
1534,18,72,High,High,No,6,85,High,Yes,1,High,High,Private,Positive,1,No,High School,Moderate,Male,68,5282,5,15,0,42.5,130.5
1535,30,63,High,Low,No,5,97,High,Yes,2,Low,High,Public,Positive,2,Yes,College,Moderate,Female,67,4452,0,15,0,48.5,130.5
1536,17,94,High,High,Yes,4,57,Medium,Yes,4,Medium,High,Public,Neutral,4,No,High School,Moderate,Male,72,4528,15,5,10,28.5,130.5
1537,26,80,Medium,High,Yes,6,81,Medium,Yes,0,Medium,Medium,Public,Neutral,2,No,College,Near,Female,70,1998,10,0,10,40.5,130.5
1538,14,70,Medium,Medium,Yes,9,91,High,Yes,2,Medium,Medium,Public,Neutral,4,No,High School,Near,Female,65,4609,5,5,10,45.5,130.5
1539,23,91,Medium,Low,Yes,6,71,Medium,Yes,5,Low,High,Public,Neutral,3,No,High School,Moderate,Female,70,2902,15,0,10,35.5,130.5
1540,14,73,High,Medium,No,5,87,High,Yes,2,Medium,Medium,Public,Positive,4,No,College,Near,Female,67,4912,5,15,0,43.5,130.5
1541,29,77,Medium,Low,Yes,10,91,High,Yes,2,Low,Medium,Public,Negative,4,No,Postgraduate,Near,Female,70,2886,5,0,10,45.5,130.5
1542,20,74,High,Low,Yes,5,69,High,Yes,1,Medium,Medium,Public,Positive,4,No,College,Moderate,Female,66,5976,5,15,10,34.5,130.5
1543,16,99,Low,Medium,Yes,5,83,Low,Yes,0,Low,High,Private,Neutral,4,No,Postgraduate,Near,Female,69,1250,20,-10,10,41.5,130.5
1544,23,73,High,Medium,Yes,9,75,Medium,Yes,0,High,High,Private,Positive,3,No,High School,Moderate,Female,68,1016,5,10,10,37.5,130.5
1545,24,81,Medium,Medium,Yes,7,71,High,Yes,1,Medium,High,Public,Neutral,3,No,College,Near,Male,70,6147,10,5,10,35.5,130.5
1546,18,93,Low,Low,Yes,8,93,Medium,Yes,3,Low,High,Public,Negative,3,No,Postgraduate,Moderate,Male,69,2644,15,-10,10,46.5,130.5
1547,17,100,Medium,High,Yes,5,71,Low,Yes,2,Low,Medium,Public,Neutral,4,No,High School,Near,Male,70,5254,20,-5,10,35.5,130.5
1548,12,94,Medium,Low,Yes,9,89,Medium,Yes,1,Low,Low,Private,Negative,3,No,High School,Near,Male,66,4638,15,-5,10,44.5,130.5
1549,19,98,Medium,Low,Yes,6,73,Medium,Yes,3,Low,Medium,Private,Negative,3,No,College,Near,Male,69,3474,20,-5,10,36.5,130.5
1550,10,97,High,High,No,4,83,Low,Yes,1,Low,High,Public,Neutral,2,No,Postgraduate,Near,Male,69,2881,20,0,0,41.5,130.5
1551,25,99,Medium,Low,No,5,79,Low,Yes,2,Low,Medium,Public,Positive,4,No,College,Near,Female,71,1944,20,0,0,39.5,130.5
1552,15,97,High,Medium,Yes,6,63,Low,Yes,2,Medium,Medium,Public,Neutral,3,No,High School,Near,Female,69,2534,20,0,10,31.5,130.5
1553,14,69,Medium,Medium,Yes,6,89,High,Yes,2,High,High,Private,Positive,5,No,High School,Moderate,Female,66,2313,0,10,10,44.5,130.5
1554,21,82,Medium,Medium,No,5,95,Medium,Yes,3,Low,Low,Public,Positive,4,No,High School,Near,Female,68,6062,10,5,0,47.5,130.5
1555,26,75,Low,High,Yes,4,81,High,Yes,3,Medium,High,Private,Positive,2,No,High School,Moderate,Male,70,66,5,5,10,40.5,130.5
1556,17,71,Medium,Low,Yes,6,99,Low,Yes,4,Medium,Medium,Public,Positive,3,Yes,Postgraduate,Near,Male,66,2753,5,0,10,49.5,130.5
1557,25,96,Medium,High,Yes,5,69,Low,Yes,0,Low,Medium,Public,Neutral,4,No,High School,Moderate,Male,71,2154,20,-5,10,34.5,130.5
1558,22,83,Medium,Medium,Yes,8,83,High,Yes,1,High,Medium,Private,Negative,3,Yes,Postgraduate,Moderate,Male,69,463,10,0,10,41.5,130.5
1559,24,98,Medium,High,No,8,61,Medium,Yes,6,Medium,High,Private,Positive,3,No,High School,Near,Female,75,4642,20,5,0,30.5,130.5
1560,30,77,Medium,Low,Yes,8,83,Medium,Yes,1,Low,Low,Public,Positive,3,No,College,Near,Male,69,1814,5,5,10,41.5,130.5
1561,21,96,Medium,Medium,Yes,5,71,Medium,Yes,2,Low,High,Public,Negative,4,No,High School,Moderate,Male,70,4190,20,-5,10,35.5,130.5
1562,14,71,High,High,Yes,8,89,Medium,Yes,0,Medium,Medium,Public,Neutral,3,No,Postgraduate,Near,Female,66,5646,5,5,10,44.5,130.5
1563,23,90,Medium,Medium,No,7,89,Low,Yes,2,High,Medium,Public,Positive,4,No,College,Moderate,Female,71,6324,15,0,0,44.5,130.5
1564,12,99,High,High,No,8,71,Medium,Yes,2,Medium,Low,Public,Neutral,2,No,College,Near,Female,70,3739,20,5,0,35.5,130.5
1565,16,92,Medium,High,Yes,5,85,Low,Yes,1,Low,Medium,Public,Neutral,2,No,High School,Moderate,Male,68,150,15,-5,10,42.5,130.5
1566,24,75,Medium,Low,No,9,95,High,Yes,0,Medium,High,Public,Positive,2,No,College,Near,Male,68,1727,5,10,0,47.5,130.5
1567,17,96,Medium,Medium,No,9,93,Low,Yes,3,Medium,Medium,Private,Neutral,2,No,High School,Far,Male,69,5221,20,-5,0,46.5,130.5
1568,5,93,Medium,Medium,Yes,7,81,Medium,No,1,Low,High,Public,Neutral,2,No,College,Near,Female,65,4053,15,0,10,40.5,130.5
1569,21,88,High,Medium,No,6,91,Medium,Yes,2,High,Medium,Public,Neutral,1,No,High School,Moderate,Female,70,888,10,5,0,45.5,130.5
1570,28,88,High,Medium,No,8,79,Medium,Yes,0,Medium,Medium,Public,Positive,3,No,High School,Far,Male,71,414,10,10,0,39.5,130.5
1571,7,82,Medium,High,Yes,6,99,Medium,Yes,2,Medium,High,Public,Negative,2,No,Postgraduate,Moderate,Male,66,4285,10,-5,10,49.5,130.5
1572,24,98,Low,Low,No,6,93,Low,No,2,Low,Low,Public,Positive,4,No,College,Near,Male,69,1902,20,-5,0,46.5,130.5
1573,14,95,Medium,Medium,Yes,8,51,Medium,Yes,5,Medium,Medium,Private,Positive,4,No,College,Near,Female,70,3097,20,5,10,25.5,130.5
1574,9,61,High,Medium,Yes,6,77,Low,No,1,High,Medium,Private,Neutral,2,No,High School,Near,Male,82,1300,0,0,10,38.5,130.5
1575,27,92,Medium,Medium,Yes,7,81,Medium,Yes,0,Low,Medium,Public,Negative,1,No,College,Near,Male,70,3973,15,-5,10,40.5,130.5
1576,22,70,High,Low,No,7,99,Medium,Yes,1,Low,High,Private,Positive,2,No,High School,Moderate,Male,66,3521,5,10,0,49.5,130.5
1577,23,90,Medium,Medium,Yes,6,73,Low,No,1,High,Medium,Private,Positive,2,No,High School,Near,Female,69,1508,15,0,10,36.5,130.5
1578,15,99,High,Medium,No,7,73,Low,Yes,1,Low,Medium,Public,Positive,3,No,High School,Near,Male,69,5435,20,5,0,36.5,130.5
1579,16,95,Low,Medium,Yes,5,65,High,Yes,0,Medium,Medium,Private,Neutral,3,No,College,Near,Female,68,2148,20,0,10,32.5,130.5
1580,20,84,High,High,Yes,10,63,Medium,Yes,0,Low,Medium,Private,Positive,4,No,High School,Near,Female,69,1073,10,10,10,31.5,130.5
1581,11,97,Low,Low,Yes,7,69,Medium,Yes,3,Low,Medium,Public,Positive,2,No,High School,Near,Female,66,4152,20,0,10,34.5,130.5
1582,21,88,High,Low,Yes,7,69,Medium,Yes,4,Medium,Medium,Private,Neutral,3,No,College,Near,Male,71,2291,10,5,10,34.5,130.5
1583,18,99,Medium,Medium,No,6,67,Medium,Yes,5,Low,Medium,Public,Positive,3,No,Postgraduate,Near,Female,72,1284,20,5,0,33.5,130.5
1584,7,88,High,High,Yes,6,71,Medium,Yes,0,Low,Medium,Public,Positive,3,No,High School,Moderate,Female,65,5202,10,10,10,35.5,130.5
1585,13,99,High,Medium,No,6,75,Low,Yes,1,Medium,Medium,Public,Positive,4,Yes,College,Far,Female,68,1623,20,5,0,37.5,130.5
1586,29,80,Medium,Medium,Yes,6,71,Medium,Yes,0,Medium,Medium,Public,Positive,3,No,College,Moderate,Female,70,879,10,5,10,35.5,130.5
1587,8,87,High,High,No,9,97,Low,Yes,2,Low,Medium,Public,Positive,3,No,High School,Near,Male,67,4206,10,5,0,48.5,130.5
1588,25,72,High,Low,Yes,6,73,High,Yes,4,Medium,High,Public,Neutral,4,No,College,Moderate,Male,69,4787,5,10,10,36.5,130.5
1589,17,82,High,Medium,Yes,7,65,Medium,Yes,1,Medium,Medium,Public,Positive,5,No,High School,Near,Male,68,2803,10,10,10,32.5,130.5
1590,31,100,Medium,Medium,No,7,59,Medium,Yes,2,High,High,Public,Positive,5,No,Postgraduate,Moderate,Male,76,105,20,5,0,29.5,130.5
1591,29,89,Medium,Low,Yes,8,89,Low,Yes,1,Medium,High,Private,Neutral,4,No,High School,Moderate,Male,71,1282,10,-5,10,44.5,130.5
1592,17,74,Medium,Medium,Yes,8,87,Medium,Yes,4,Low,Low,Public,Positive,3,No,College,Near,Male,67,382,5,5,10,43.5,130.5
1593,23,64,Medium,Low,Yes,6,95,High,Yes,1,Low,Medium,Public,Positive,2,Yes,College,Far,Female,63,1893,0,10,10,47.5,130.5
1594,14,96,Medium,Low,Yes,9,69,High,Yes,0,Medium,Medium,Private,Negative,3,Yes,College,Near,Female,66,319,20,0,10,34.5,130.5
1595,22,70,Medium,High,Yes,8,75,High,Yes,0,Medium,Medium,Private,Positive,3,No,Postgraduate,Near,Male,68,1496,5,10,10,37.5,130.5
1596,17,97,Medium,Low,No,7,73,High,No,1,Medium,High,Private,Neutral,4,No,College,Near,Male,69,4288,20,5,0,36.5,130.5
1597,20,76,Low,Medium,Yes,5,95,Medium,Yes,4,Low,High,Public,Positive,3,No,High School,Near,Male,68,1336,5,0,10,47.5,130.5
1598,23,81,High,High,No,5,91,Low,Yes,0,High,High,Public,Positive,3,Yes,High School,Near,Female,70,6015,10,5,0,45.5,130.5
1599,33,74,Medium,Medium,Yes,6,88,Medium,Yes,2,Medium,Medium,Private,Neutral,3,No,College,Near,Male,71,4867,5,0,10,44.0,130.0
1600,19,89,High,Low,Yes,7,64,Medium,Yes,2,Low,Medium,Public,Positive,4,Yes,Postgraduate,Moderate,Female,68,1447,10,10,10,32.0,130.0
1601,18,84,High,High,Yes,8,92,Low,Yes,0,Low,High,Public,Negative,3,No,College,Near,Female,69,3942,10,-5,10,46.0,130.0
1602,16,85,Medium,Medium,Yes,5,86,Low,No,3,Medium,Medium,Public,Positive,2,No,High School,Near,Male,67,3693,10,0,10,43.0,130.0
1603,22,71,Medium,High,Yes,7,94,Medium,Yes,1,Medium,Medium,Public,Neutral,4,No,High School,Near,Male,68,4309,5,0,10,47.0,130.0
1604,27,91,Low,High,Yes,9,82,Medium,Yes,0,Low,Low,Public,Neutral,1,No,High School,Far,Male,69,1168,15,-5,10,41.0,130.0
1605,29,89,Low,Medium,Yes,8,98,Medium,Yes,1,Medium,Medium,Public,Negative,4,No,High School,Moderate,Male,71,3,10,-10,10,49.0,130.0
1606,24,89,Medium,High,Yes,5,68,Medium,Yes,0,Low,High,Public,Positive,2,No,Postgraduate,Near,Female,71,664,10,5,10,34.0,130.0
1607,13,87,Low,Medium,Yes,6,98,Low,Yes,0,High,High,Public,Positive,3,Yes,Postgraduate,Moderate,Male,66,1207,10,-5,10,49.0,130.0
1608,13,74,Medium,High,Yes,8,98,High,Yes,1,High,High,Public,Negative,2,No,High School,Near,Male,66,6364,5,0,10,49.0,130.0
1609,19,69,High,Medium,Yes,5,98,Medium,Yes,0,High,Medium,Public,Neutral,4,No,High School,Moderate,Male,66,3961,0,5,10,49.0,130.0
1610,20,69,Medium,Medium,Yes,8,96,Medium,Yes,2,Medium,High,Public,Positive,3,No,High School,Near,Male,67,32,0,5,10,48.0,130.0
1611,26,92,Medium,Low,Yes,6,72,Medium,Yes,1,Low,Medium,Private,Neutral,3,No,High School,Moderate,Female,69,1361,15,0,10,36.0,130.0
1612,22,91,Medium,Medium,Yes,8,64,Medium,Yes,1,Low,High,Public,Positive,3,Yes,High School,Moderate,Male,68,2647,15,5,10,32.0,130.0
1613,22,78,Medium,Medium,Yes,5,96,Medium,Yes,0,Low,Medium,Public,Neutral,3,No,High School,Moderate,Male,67,3451,5,0,10,48.0,130.0
1614,26,98,Low,High,Yes,6,68,Medium,Yes,1,Low,Medium,Private,Neutral,1,No,Postgraduate,Moderate,Male,71,2827,20,-5,10,34.0,130.0
1615,18,82,High,Medium,Yes,8,62,High,Yes,3,Low,Medium,Private,Neutral,4,No,High School,Near,Female,69,5596,10,10,10,31.0,130.0
1616,24,63,Medium,Medium,Yes,9,92,Medium,Yes,4,Medium,Medium,Private,Positive,4,No,Postgraduate,Near,Male,69,1077,0,5,10,46.0,130.0
1617,21,98,Low,Medium,No,6,88,Medium,Yes,1,Medium,Low,Public,Neutral,3,No,Postgraduate,Near,Male,71,870,20,-5,0,44.0,130.0
1618,16,98,High,Low,Yes,8,52,Medium,Yes,3,Low,High,Public,Neutral,3,No,College,Moderate,Female,69,2995,20,5,10,26.0,130.0
1619,23,63,High,Medium,Yes,5,96,Medium,Yes,2,High,Medium,Public,Neutral,2,No,High School,Near,Female,67,3600,0,5,10,48.0,130.0
1620,14,80,Medium,Medium,Yes,7,88,Medium,Yes,1,Medium,Medium,Private,Neutral,3,No,High School,Near,Male,66,2090,10,0,10,44.0,130.0
1621,20,69,High,Medium,Yes,7,76,High,Yes,1,Medium,Medium,Public,Positive,3,No,High School,Near,Female,67,5885,0,15,10,38.0,130.0
1622,24,68,Medium,Medium,Yes,7,96,Medium,Yes,1,Low,High,Public,Positive,3,No,High School,Near,Male,67,4584,0,5,10,48.0,130.0
1623,13,100,Medium,Low,Yes,8,54,Medium,Yes,0,Medium,High,Public,Positive,3,No,College,Near,Female,68,4112,20,5,10,27.0,130.0
1624,20,82,Medium,Medium,No,6,94,Medium,Yes,3,Low,Medium,Private,Positive,2,No,High School,Near,Male,68,6296,10,5,0,47.0,130.0
1625,18,81,Medium,Medium,Yes,4,84,Low,Yes,1,Medium,Medium,Private,Positive,4,No,College,Near,Female,68,2588,10,0,10,42.0,130.0
1626,24,92,Medium,High,No,9,76,Medium,Yes,2,High,Medium,Public,Positive,2,No,High School,Near,Female,72,2219,15,5,0,38.0,130.0
1627,16,85,High,Low,Yes,6,86,Low,Yes,3,High,High,Private,Neutral,2,No,High School,Far,Male,67,3137,10,0,10,43.0,130.0
1628,23,67,High,Low,Yes,7,88,Medium,Yes,1,Low,Medium,Private,Positive,4,No,High School,Near,Male,66,2577,0,10,10,44.0,130.0
1629,26,87,Medium,Medium,No,6,98,High,Yes,0,Medium,High,Public,Negative,4,No,College,Moderate,Male,71,4788,10,0,0,49.0,130.0
1630,17,91,Medium,Low,Yes,10,86,Low,Yes,1,Medium,Medium,Public,Neutral,3,Yes,Postgraduate,Moderate,Female,67,2061,15,-5,10,43.0,130.0
1631,23,63,Medium,Medium,Yes,8,94,High,Yes,2,Medium,Medium,Public,Neutral,5,No,Postgraduate,Near,Male,68,2120,0,5,10,47.0,130.0
1632,11,91,Medium,Medium,No,6,94,Medium,Yes,3,Medium,Medium,Public,Neutral,3,No,College,Moderate,Male,68,94,15,0,0,47.0,130.0
1633,16,95,Medium,High,Yes,8,52,Medium,Yes,0,Low,Medium,Private,Positive,3,No,Postgraduate,Moderate,Male,69,5895,20,5,10,26.0,130.0
1634,10,98,Medium,Medium,No,7,98,Low,No,0,Medium,Medium,Public,Neutral,3,No,College,Moderate,Female,66,5157,20,-5,0,49.0,130.0
1635,10,75,Medium,High,Yes,8,90,Medium,Yes,2,Low,Medium,Public,Positive,2,No,Postgraduate,Moderate,Male,65,5402,5,5,10,45.0,130.0
1636,18,73,Medium,Low,Yes,5,88,Medium,Yes,1,Medium,Medium,Public,Positive,5,No,College,Near,Female,66,551,5,5,10,44.0,130.0
1637,24,89,Medium,Low,Yes,6,94,Low,Yes,2,Medium,Medium,Public,Neutral,2,No,High School,Far,Male,68,1279,10,-5,10,47.0,130.0
1638,23,94,Medium,Low,Yes,8,62,Medium,Yes,2,Low,Medium,Public,Positive,0,No,Postgraduate,Moderate,Female,69,924,15,5,10,31.0,130.0
1639,13,78,Medium,High,Yes,8,88,High,Yes,0,High,Low,Public,Neutral,3,No,College,Near,Male,66,262,5,5,10,44.0,130.0
1640,24,92,Medium,High,No,8,78,High,Yes,0,Medium,Medium,Public,Neutral,3,No,High School,Near,Male,71,3161,15,5,0,39.0,130.0
1641,22,84,Medium,Medium,Yes,6,92,Low,Yes,0,Medium,Medium,Public,Neutral,5,No,High School,Near,Female,69,246,10,-5,10,46.0,130.0
1642,29,88,Medium,High,No,7,96,Low,Yes,2,Low,Low,Public,Positive,2,No,High School,Near,Female,72,950,10,0,0,48.0,130.0
1643,20,70,Medium,Medium,Yes,6,78,High,Yes,0,Medium,Medium,Private,Positive,2,No,College,Near,Female,66,1272,5,10,10,39.0,130.0
1644,19,93,High,High,No,7,84,Medium,Yes,5,Low,High,Public,Negative,3,No,High School,Near,Female,73,1825,15,0,0,42.0,130.0
1645,13,70,Medium,Medium,Yes,7,100,Medium,Yes,3,Low,Medium,Public,Neutral,3,No,High School,Near,Male,65,1022,5,0,10,50.0,130.0
1646,23,96,Medium,Medium,Yes,8,62,Medium,Yes,0,Low,High,Public,Neutral,4,No,High School,Moderate,Female,69,3094,20,0,10,31.0,130.0
1647,25,71,Medium,Medium,Yes,5,98,Low,Yes,0,Low,Medium,Public,Positive,1,No,Postgraduate,Far,Male,66,2379,5,0,10,49.0,130.0
1648,17,83,Medium,Medium,No,8,96,Medium,Yes,1,Low,Medium,Public,Positive,3,No,College,Moderate,Male,67,5379,10,5,0,48.0,130.0
1649,26,67,Medium,High,Yes,5,94,Medium,Yes,0,Medium,Medium,Public,Positive,2,No,College,Near,Male,68,1731,0,5,10,47.0,130.0
1650,11,99,High,Medium,Yes,7,52,Medium,Yes,0,High,High,Private,Neutral,5,No,College,Near,Female,69,2960,20,5,10,26.0,130.0
1651,16,84,Medium,High,Yes,7,86,Medium,Yes,1,Low,Medium,Private,Neutral,2,No,High School,Near,Female,67,303,10,0,10,43.0,130.0
1652,21,96,Low,High,Yes,6,78,Low,Yes,2,Medium,High,Private,Neutral,3,No,High School,Moderate,Female,71,2541,20,-10,10,39.0,130.0
1653,19,71,High,High,No,5,96,High,Yes,2,Low,Medium,Private,Neutral,0,Yes,College,Near,Female,67,1277,5,10,0,48.0,130.0
1654,15,94,Medium,Medium,No,7,84,Medium,Yes,0,Medium,High,Public,Positive,2,No,High School,Moderate,Male,68,3578,15,5,0,42.0,130.0
1655,32,82,Low,Medium,Yes,8,88,Low,Yes,0,High,Medium,Public,Positive,2,No,College,Moderate,Male,71,975,10,-5,10,44.0,130.0
1656,19,72,Medium,Medium,Yes,8,96,Low,Yes,1,Medium,High,Public,Positive,2,No,Postgraduate,Moderate,Female,67,2107,5,0,10,48.0,130.0
1657,16,81,Medium,Medium,Yes,8,74,Medium,Yes,3,Medium,Medium,Public,Positive,2,No,Postgraduate,Near,Female,68,153,10,5,10,37.0,130.0
1658,10,75,Medium,Medium,Yes,4,90,Medium,Yes,3,Medium,High,Public,Positive,3,Yes,Postgraduate,Moderate,Male,65,5746,5,5,10,45.0,130.0
1659,15,75,High,Medium,Yes,4,74,Medium,Yes,3,Medium,High,Public,Positive,4,No,College,Near,Female,68,4335,5,10,10,37.0,130.0
1660,14,89,Medium,High,Yes,6,94,Low,Yes,0,Low,Medium,Private,Neutral,2,No,Postgraduate,Near,Male,68,1635,10,-5,10,47.0,130.0
1661,23,97,Medium,High,Yes,6,80,Low,Yes,1,Low,Low,Public,Negative,2,No,College,Moderate,Male,70,5788,20,-10,10,40.0,130.0
1662,29,84,High,Medium,Yes,10,56,High,Yes,3,Low,High,Public,Neutral,4,No,Postgraduate,Far,Female,72,2407,10,10,10,28.0,130.0
1663,21,87,Medium,High,No,7,100,Low,Yes,1,Low,Medium,Public,Positive,3,No,High School,Near,Male,70,2180,10,0,0,50.0,130.0
1664,19,93,Medium,Medium,No,7,84,High,No,0,Medium,Low,Public,Neutral,2,No,College,Near,Male,68,6087,15,5,0,42.0,130.0
1665,20,78,High,Medium,No,7,80,High,Yes,2,High,Medium,Public,Positive,3,No,College,Near,Male,70,4928,5,15,0,40.0,130.0
1666,11,84,High,Medium,Yes,6,76,High,Yes,3,Low,High,Public,Negative,3,No,High School,Moderate,Female,67,1294,10,5,10,38.0,130.0
1667,15,83,High,Medium,Yes,10,84,Medium,Yes,1,High,High,Public,Negative,2,No,College,Near,Male,68,778,10,0,10,42.0,130.0
1668,19,82,Medium,Medium,No,7,94,Medium,Yes,1,Medium,Medium,Public,Positive,3,No,High School,Near,Female,68,1931,10,5,0,47.0,130.0
1669,19,95,Low,Low,Yes,5,86,Medium,Yes,0,High,Medium,Public,Negative,4,No,High School,Moderate,Male,67,4797,20,-10,10,43.0,130.0
1670,21,82,Medium,Medium,Yes,10,60,High,Yes,3,High,High,Public,Positive,4,No,High School,Near,Female,70,5818,10,10,10,30.0,130.0
1671,30,88,High,Medium,Yes,6,64,Medium,Yes,1,High,Medium,Public,Neutral,2,No,College,Near,Female,73,4185,10,5,10,32.0,130.0
1672,9,62,High,High,Yes,9,90,High,Yes,4,High,Medium,Public,Neutral,4,No,College,Far,Male,65,3090,0,10,10,45.0,130.0
1673,29,88,Low,Medium,Yes,8,97,Medium,Yes,4,Low,High,Public,Negative,3,Yes,College,Moderate,Male,71,2560,10,-10,10,48.5,129.5
1674,30,86,Medium,High,No,4,85,High,Yes,2,Medium,Medium,Private,Neutral,5,Yes,Postgraduate,Far,Male,72,3231,10,5,0,42.5,129.5
1675,18,72,High,High,Yes,8,95,Medium,Yes,1,Medium,Medium,Public,Negative,4,No,High School,Moderate,Male,67,1247,5,0,10,47.5,129.5
1676,27,78,High,High,No,8,85,Medium,Yes,0,High,Medium,Public,Positive,3,No,College,Near,Male,72,5288,5,10,0,42.5,129.5
1677,24,79,High,Medium,No,7,81,High,Yes,0,High,Medium,Public,Positive,2,No,High School,Moderate,Male,69,4244,5,15,0,40.5,129.5
1678,17,77,Medium,High,Yes,10,93,Low,Yes,3,High,High,Private,Positive,1,No,College,Far,Female,68,5025,5,0,10,46.5,129.5
1679,25,86,Medium,Medium,Yes,7,81,Low,Yes,1,High,Low,Public,Positive,1,No,High School,Near,Male,69,573,10,0,10,40.5,129.5
1680,1,69,High,Medium,Yes,6,97,Medium,Yes,1,Low,Medium,Public,Positive,3,No,High School,Near,Female,61,259,0,10,10,48.5,129.5
1681,9,64,Medium,High,Yes,6,99,Medium,Yes,6,Low,High,Public,Positive,6,Yes,High School,Moderate,Male,65,5654,0,5,10,49.5,129.5
1682,24,95,High,Low,Yes,8,59,Medium,Yes,2,Low,High,Public,Negative,1,No,College,Moderate,Male,70,658,20,0,10,29.5,129.5
1683,24,85,High,High,No,8,89,Medium,Yes,1,Low,Medium,Public,Neutral,3,No,High School,Moderate,Female,70,5689,10,5,0,44.5,129.5
1684,21,83,Medium,Medium,Yes,8,75,High,Yes,1,Low,High,Public,Neutral,2,No,High School,Far,Male,67,685,10,5,10,37.5,129.5
1685,27,94,Medium,Low,No,5,77,Medium,Yes,0,Medium,High,Public,Positive,2,No,College,Near,Female,71,5660,15,5,0,38.5,129.5
1686,22,84,High,Medium,No,7,81,Medium,Yes,1,Medium,Low,Private,Positive,3,No,High School,Moderate,Male,69,581,10,10,0,40.5,129.5
1687,18,78,High,Low,Yes,7,85,High,Yes,3,Low,Low,Public,Negative,2,No,College,Near,Male,67,2806,5,5,10,42.5,129.5
1688,19,74,Medium,Medium,Yes,10,85,Medium,Yes,1,Low,Medium,Public,Positive,5,No,Postgraduate,Moderate,Male,67,4134,5,5,10,42.5,129.5
1689,22,82,Medium,Medium,Yes,9,93,Low,Yes,2,Low,Medium,Public,Neutral,2,No,High School,Near,Male,68,3562,10,-5,10,46.5,129.5
