,id,Exam_Score,point_attendance,point_motivation,point_extracurricular_activities,point_previous_scores,total_point
1503,6336,67,0,5,10,49.0,131.0
1504,5844,68,10,5,10,38.0,131.0
1505,5670,71,15,5,0,40.0,131.0
1506,84,69,10,-5,10,47.0,131.0
1507,6226,70,15,5,0,41.0,131.0
1508,608,70,10,0,10,41.0,131.0
1509,6040,70,15,5,0,41.0,131.0
1510,1586,67,20,5,0,39.0,131.0
1511,4742,70,20,0,10,31.0,131.0
1512,260,65,10,5,10,41.0,131.0
1513,2817,68,10,10,0,43.0,131.0
1514,2669,68,5,0,10,48.0,131.0
1515,2035,69,10,5,10,37.0,131.0
1516,1516,67,10,10,10,34.0,131.0
1517,190,70,20,10,0,31.0,131.0
1518,42,70,15,-5,10,41.0,131.0
1519,2832,72,20,-10,0,49.0,131.0
1520,1576,69,20,0,10,32.0,131.0
1521,215,89,5,10,0,27.0,131.0
1522,2985,66,10,15,10,30.0,131.0
1523,6230,68,5,0,10,48.0,131.0
1524,4299,67,10,10,10,34.0,131.0
1525,69,70,20,5,10,26.0,131.0
1526,4093,68,0,10,10,43.0,131.0
1527,5882,67,20,0,0,44.0,131.0
1528,5688,69,20,5,10,27.0,131.0
1529,6038,70,10,0,10,41.0,131.0
1530,2063,69,0,5,10,47.0,131.0
1531,2160,68,10,0,10,42.5,130.5
1532,5031,62,0,10,10,48.5,130.5
1533,595,74,10,0,10,36.5,130.5
1534,5282,68,5,15,0,42.5,130.5
1535,4452,67,0,15,0,48.5,130.5
1536,4528,72,15,5,10,28.5,130.5
1537,1998,70,10,0,10,40.5,130.5
1538,4609,65,5,5,10,45.5,130.5
1539,2902,70,15,0,10,35.5,130.5
1540,4912,67,5,15,0,43.5,130.5
1541,2886,70,5,0,10,45.5,130.5
1542,5976,66,5,15,10,34.5,130.5
1543,1250,69,20,-10,10,41.5,130.5
1544,1016,68,5,10,10,37.5,130.5
1545,6147,70,10,5,10,35.5,130.5
1546,2644,69,15,-10,10,46.5,130.5
1547,5254,70,20,-5,10,35.5,130.5
1548,4638,66,15,-5,10,44.5,130.5
1549,3474,69,20,-5,10,36.5,130.5
1550,2881,69,20,0,0,41.5,130.5
1551,1944,71,20,0,0,39.5,130.5
1552,2534,69,20,0,10,31.5,130.5
1553,2313,66,0,10,10,44.5,130.5
1554,6062,68,10,5,0,47.5,130.5
1555,66,70,5,5,10,40.5,130.5
1556,2753,66,5,0,10,49.5,130.5
1557,2154,71,20,-5,10,34.5,130.5
1558,463,69,10,0,10,41.5,130.5
1559,4642,75,20,5,0,30.5,130.5
1560,1814,69,5,5,10,41.5,130.5
1561,4190,70,20,-5,10,35.5,130.5
1562,5646,66,5,5,10,44.5,130.5
1563,6324,71,15,0,0,44.5,130.5
1564,3739,70,20,5,0,35.5,130.5
1565,150,68,15,-5,10,42.5,130.5
1566,1727,68,5,10,0,47.5,130.5
1567,5221,69,20,-5,0,46.5,130.5
1568,4053,65,15,0,10,40.5,130.5
1569,888,70,10,5,0,45.5,130.5
1570,414,71,10,10,0,39.5,130.5
1571,4285,66,10,-5,10,49.5,130.5
1572,1902,69,20,-5,0,46.5,130.5
1573,3097,70,20,5,10,25.5,130.5
1574,1300,82,0,0,10,38.5,130.5
1575,3973,70,15,-5,10,40.5,130.5
1576,3521,66,5,10,0,49.5,130.5
1577,1508,69,15,0,10,36.5,130.5
1578,5435,69,20,5,0,36.5,130.5
1579,2148,68,20,0,10,32.5,130.5
1580,1073,69,10,10,10,31.5,130.5
1581,4152,66,20,0,10,34.5,130.5
1582,2291,71,10,5,10,34.5,130.5
1583,1284,72,20,5,0,33.5,130.5
1584,5202,65,10,10,10,35.5,130.5
1585,1623,68,20,5,0,37.5,130.5
1586,879,70,10,5,10,35.5,130.5
1587,4206,67,10,5,0,48.5,130.5
1588,4787,69,5,10,10,36.5,130.5
1589,2803,68,10,10,10,32.5,130.5
1590,105,76,20,5,0,29.5,130.5
1591,1282,71,10,-5,10,44.5,130.5
1592,382,67,5,5,10,43.5,130.5
1593,1893,63,0,10,10,47.5,130.5
1594,319,66,20,0,10,34.5,130.5
1595,1496,68,5,10,10,37.5,130.5
1596,4288,69,20,5,0,36.5,130.5
1597,1336,68,5,0,10,47.5,130.5
1598,6015,70,10,5,0,45.5,130.5
1599,4867,71,5,0,10,44.0,130.0
1600,1447,68,10,10,10,32.0,130.0
1601,3942,69,10,-5,10,46.0,130.0
1602,3693,67,10,0,10,43.0,130.0
1603,4309,68,5,0,10,47.0,130.0
1604,1168,69,15,-5,10,41.0,130.0
1605,3,71,10,-10,10,49.0,130.0
1606,664,71,10,5,10,34.0,130.0
1607,1207,66,10,-5,10,49.0,130.0
1608,6364,66,5,0,10,49.0,130.0
1609,3961,66,0,5,10,49.0,130.0
1610,32,67,0,5,10,48.0,130.0
1611,1361,69,15,0,10,36.0,130.0
1612,2647,68,15,5,10,32.0,130.0
1613,3451,67,5,0,10,48.0,130.0
1614,2827,71,20,-5,10,34.0,130.0
1615,5596,69,10,10,10,31.0,130.0
1616,1077,69,0,5,10,46.0,130.0
1617,870,71,20,-5,0,44.0,130.0
1618,2995,69,20,5,10,26.0,130.0
1619,3600,67,0,5,10,48.0,130.0
1620,2090,66,10,0,10,44.0,130.0
1621,5885,67,0,15,10,38.0,130.0
1622,4584,67,0,5,10,48.0,130.0
1623,4112,68,20,5,10,27.0,130.0
1624,6296,68,10,5,0,47.0,130.0
1625,2588,68,10,0,10,42.0,130.0
1626,2219,72,15,5,0,38.0,130.0
1627,3137,67,10,0,10,43.0,130.0
1628,2577,66,0,10,10,44.0,130.0
1629,4788,71,10,0,0,49.0,130.0
1630,2061,67,15,-5,10,43.0,130.0
1631,2120,68,0,5,10,47.0,130.0
1632,94,68,15,0,0,47.0,130.0
1633,5895,69,20,5,10,26.0,130.0
1634,5157,66,20,-5,0,49.0,130.0
1635,5402,65,5,5,10,45.0,130.0
1636,551,66,5,5,10,44.0,130.0
1637,1279,68,10,-5,10,47.0,130.0
1638,924,69,15,5,10,31.0,130.0
1639,262,66,5,5,10,44.0,130.0
1640,3161,71,15,5,0,39.0,130.0
1641,246,69,10,-5,10,46.0,130.0
1642,950,72,10,0,0,48.0,130.0
1643,1272,66,5,10,10,39.0,130.0
1644,1825,73,15,0,0,42.0,130.0
1645,1022,65,5,0,10,50.0,130.0
1646,3094,69,20,0,10,31.0,130.0
1647,2379,66,5,0,10,49.0,130.0
1648,5379,67,10,5,0,48.0,130.0
1649,1731,68,0,5,10,47.0,130.0
1650,2960,69,20,5,10,26.0,130.0
1651,303,67,10,0,10,43.0,130.0
1652,2541,71,20,-10,10,39.0,130.0
1653,1277,67,5,10,0,48.0,130.0
1654,3578,68,15,5,0,42.0,130.0
1655,975,71,10,-5,10,44.0,130.0
1656,2107,67,5,0,10,48.0,130.0
1657,153,68,10,5,10,37.0,130.0
1658,5746,65,5,5,10,45.0,130.0
1659,4335,68,5,10,10,37.0,130.0
1660,1635,68,10,-5,10,47.0,130.0
1661,5788,70,20,-10,10,40.0,130.0
1662,2407,72,10,10,10,28.0,130.0
1663,2180,70,10,0,0,50.0,130.0
1664,6087,68,15,5,0,42.0,130.0
1665,4928,70,5,15,0,40.0,130.0
1666,1294,67,10,5,10,38.0,130.0
1667,778,68,10,0,10,42.0,130.0
1668,1931,68,10,5,0,47.0,130.0
1669,4797,67,20,-10,10,43.0,130.0
1670,5818,70,10,10,10,30.0,130.0
1671,4185,73,10,5,10,32.0,130.0
1672,3090,65,0,10,10,45.0,130.0
1673,2560,71,10,-10,10,48.5,129.5
1674,3231,72,10,5,0,42.5,129.5
1675,1247,67,5,0,10,47.5,129.5
1676,5288,72,5,10,0,42.5,129.5
1677,4244,69,5,15,0,40.5,129.5
1678,5025,68,5,0,10,46.5,129.5
1679,573,69,10,0,10,40.5,129.5
1680,259,61,0,10,10,48.5,129.5
1681,5654,65,0,5,10,49.5,129.5
1682,658,70,20,0,10,29.5,129.5
1683,5689,70,10,5,0,44.5,129.5
1684,685,67,10,5,10,37.5,129.5
1685,5660,71,15,5,0,38.5,129.5
1686,581,69,10,10,0,40.5,129.5
1687,2806,67,5,5,10,42.5,129.5
1688,4134,67,5,5,10,42.5,129.5
1689,3562,68,10,-5,10,46.5,129.5
1690,2812,67,10,0,10,42.5,129.5
1691,1454,68,5,5,10,41.5,129.5
1692,1474,69,10,5,10,35.5,129.5
1693,902,66,15,10,10,28.5,129.5
1694,1255,67,10,5,10,37.5,129.5
1695,4969,69,5,0,10,45.5,129.5
1696,3809,68,20,10,0,31.5,129.5
1697,368,68,0,5,10,46.5,129.5
1698,5944,65,10,0,10,44.5,129.5
1699,4002,67,0,5,10,47.5,129.5
1700,3900,68,5,5,10,41.5,129.5
1701,5957,69,5,0,10,45.5,129.5
1702,5973,66,0,5,10,48.5,129.5
1703,6035,66,0,5,10,48.5,129.5
1704,2865,67,15,5,10,32.5,129.5
1705,4729,70,10,5,10,34.5,129.5
1706,1760,68,5,0,10,46.5,129.5
1707,5968,65,0,10,10,44.5,129.5
1708,3028,67,10,0,10,42.5,129.5
1709,4056,67,0,5,10,47.5,129.5
1710,2947,67,10,10,10,32.5,129.5
1711,2172,70,20,-5,0,44.5,129.5
1712,841,68,10,5,0,46.5,129.5
1713,4881,69,15,-5,10,40.5,129.5
1714,2157,69,15,-5,10,40.5,129.5
1715,6330,67,20,0,10,32.5,129.5
1716,119,68,0,15,0,46.5,129.5
1717,563,66,10,10,10,33.5,129.5
1718,3965,69,5,10,10,35.5,129.5
1719,4191,70,10,5,0,44.5,129.5
1720,2436,70,15,0,0,44.5,129.5
1721,3610,69,20,5,10,25.5,129.5
1722,3705,73,5,5,10,36.5,129.5
1723,6346,64,15,0,10,40.5,129.5
1724,5259,68,5,0,10,46.5,129.5
1725,2312,62,0,15,10,42.5,129.5
1726,1351,64,10,0,10,45.5,129.5
1727,3737,67,10,10,10,32.5,129.5
1728,3344,65,10,0,10,44.5,129.5
1729,1863,68,5,10,10,36.5,129.5
1730,4331,67,10,0,10,42.5,129.5
1731,3459,68,10,5,10,36.5,129.5
1732,4781,72,15,10,0,32.5,129.5
1733,3834,71,0,10,10,38.5,129.5
1734,761,68,5,5,10,41.5,129.5
1735,4926,67,10,15,10,27.5,129.5
1736,3457,72,5,10,10,32.5,129.5
1737,2590,71,20,5,0,33.5,129.5
1738,468,63,10,5,10,41.5,129.5
1739,5480,66,15,-5,10,43.5,129.5
1740,2066,70,15,-5,0,49.5,129.5
1741,5856,70,20,-5,10,34.5,129.5
1742,1352,68,20,-10,10,41.5,129.5
1743,3654,68,20,-5,10,36.5,129.5
1744,1023,65,5,0,10,49.0,129.0
1745,5549,67,0,10,10,42.0,129.0
1746,2607,67,5,0,10,47.0,129.0
1747,230,67,10,5,0,47.0,129.0
1748,2355,65,10,-5,10,49.0,129.0
1749,3848,73,5,0,10,41.0,129.0
1750,3544,69,10,0,10,40.0,129.0
1751,5546,65,5,0,10,49.0,129.0
1752,965,72,20,0,0,37.0,129.0
1753,2943,70,20,-5,0,44.0,129.0
1754,2372,69,20,5,10,25.0,129.0
1755,5027,71,20,0,0,38.0,129.0
1756,3728,69,20,-10,0,50.0,129.0
1757,5012,71,20,-5,0,43.0,129.0
1758,3613,68,10,-5,10,46.0,129.0
1759,473,65,5,0,10,49.0,129.0
1760,819,66,5,0,10,48.0,129.0
1761,3072,68,0,5,10,46.0,129.0
1762,561,69,10,5,0,45.0,129.0
1763,4726,71,15,0,0,43.0,129.0
1764,3955,66,0,5,10,48.0,129.0
1765,6195,67,20,0,10,32.0,129.0
1766,4765,69,10,5,0,45.0,129.0
1767,8,69,15,5,0,40.0,129.0
1768,2292,66,0,10,10,43.0,129.0
1769,5943,70,5,10,10,34.0,129.0
1770,5952,67,10,0,10,42.0,129.0
1771,2300,69,5,10,10,35.0,129.0
1772,4710,74,15,0,10,30.0,129.0
1773,5953,66,5,0,10,48.0,129.0
1774,5537,68,10,-5,10,46.0,129.0
1775,5164,69,5,0,10,45.0,129.0
1776,384,69,15,-5,0,50.0,129.0
1777,1554,68,5,10,0,46.0,129.0
1778,1285,70,15,5,10,29.0,129.0
1779,4074,70,15,5,0,39.0,129.0
1780,6252,66,10,-5,10,48.0,129.0
1781,3417,69,10,5,10,35.0,129.0
1782,2992,68,5,5,10,41.0,129.0
1783,3102,69,10,-10,10,50.0,129.0
1784,3560,68,20,0,10,31.0,129.0
1785,1004,66,5,10,10,38.0,129.0
1786,1609,65,5,15,10,34.0,129.0
1787,1642,71,15,0,0,43.0,129.0
1788,3541,72,15,0,10,32.0,129.0
1789,4069,65,10,0,10,44.0,129.0
1790,3976,67,10,0,10,42.0,129.0
1791,4534,68,10,10,10,31.0,129.0
1792,2121,70,20,0,0,39.0,129.0
1793,4227,67,10,0,10,42.0,129.0
1794,1824,69,20,-15,10,45.0,129.0
1795,4467,65,20,0,10,34.0,129.0
1796,1295,66,10,10,0,43.0,129.0
1797,2696,70,15,0,10,34.0,129.0
1798,4259,66,5,5,10,43.0,129.0
1799,4343,68,15,0,10,36.0,129.0
1800,574,70,15,5,10,29.0,129.0
1801,152,68,5,0,10,46.0,129.0
1802,1432,69,10,0,10,40.0,129.0
1803,4169,71,15,0,10,33.0,129.0
1804,3825,68,0,5,10,46.0,129.0
1805,5095,70,20,0,10,29.0,129.0
1806,5902,67,5,10,0,47.0,129.0
1807,168,66,0,10,10,43.0,129.0
1808,3717,66,5,5,10,43.0,129.0
1809,423,72,20,5,0,32.0,129.0
1810,2319,66,0,5,10,48.0,129.0
1811,6136,69,15,0,0,45.0,129.0
1812,5852,69,20,5,0,35.0,129.0
1813,4548,65,5,0,10,49.0,129.0
1814,4866,75,15,5,0,34.0,129.0
1815,887,67,5,10,10,36.5,128.5
1816,6026,66,5,10,10,37.5,128.5
1817,1409,66,20,-10,10,42.5,128.5
1818,2798,69,5,5,0,49.5,128.5
1819,4963,68,10,0,10,40.5,128.5
1820,2877,71,20,0,0,37.5,128.5
1821,1920,71,15,-10,10,42.5,128.5
1822,3233,66,5,5,10,42.5,128.5
1823,6010,72,10,-10,10,46.5,128.5
1824,2857,69,5,5,10,39.5,128.5
1825,4705,66,0,5,10,47.5,128.5
1826,1987,70,20,5,0,33.5,128.5
1827,3234,66,5,5,10,42.5,128.5
1828,4958,68,0,10,10,40.5,128.5
1829,3798,71,20,0,10,27.5,128.5
1830,6167,66,10,0,10,42.5,128.5
1831,4733,65,5,0,10,48.5,128.5
1832,1531,66,5,10,0,47.5,128.5
1833,2717,68,15,10,0,35.5,128.5
1834,1213,67,5,0,10,46.5,128.5
1835,857,71,5,10,0,42.5,128.5
1836,6339,69,10,0,10,39.5,128.5
1837,1360,66,10,5,10,37.5,128.5
1838,5428,67,20,0,10,31.5,128.5
1839,3136,68,10,-5,10,45.5,128.5
1840,2625,68,10,0,10,40.5,128.5
1841,6322,70,15,-5,10,38.5,128.5
1842,4933,70,10,-5,10,43.5,128.5
1843,1321,66,20,0,10,32.5,128.5
1844,2578,72,10,5,10,31.5,128.5
1845,2966,66,5,15,0,42.5,128.5
1846,6251,67,10,5,10,36.5,128.5
1847,507,70,15,5,0,38.5,128.5
1848,1643,69,15,0,10,34.5,128.5
1849,1903,70,20,-5,0,43.5,128.5
1850,443,68,10,5,10,35.5,128.5
1851,3596,74,10,0,0,44.5,128.5
1852,5484,71,15,10,0,32.5,128.5
1853,1223,64,5,0,10,49.5,128.5
1854,2446,71,15,10,0,32.5,128.5
1855,5149,67,0,5,10,46.5,128.5
1856,1842,72,20,0,10,26.5,128.5
1857,1723,70,10,0,0,48.5,128.5
1858,5188,69,10,-10,10,49.5,128.5
1859,4201,66,5,10,0,47.5,128.5
1860,65,69,10,-5,10,44.5,128.5
1861,5008,69,10,10,0,39.5,128.5
1862,58,68,15,0,10,35.5,128.5
1863,3682,69,15,-5,10,39.5,128.5
1864,5166,69,10,10,10,29.5,128.5
1865,370,70,15,5,0,38.5,128.5
1866,4529,67,0,10,10,41.5,128.5
1867,2952,70,20,0,0,38.5,128.5
1868,5130,69,10,0,10,39.5,128.5
1869,4403,69,10,-5,10,44.5,128.5
1870,3718,70,20,0,0,38.5,128.5
1871,4504,66,10,-5,10,47.5,128.5
1872,2422,64,5,10,10,39.5,128.5
1873,2815,70,20,-5,10,33.5,128.5
1874,1429,68,0,15,0,45.5,128.5
1875,4126,62,0,10,10,46.5,128.5
1876,2986,69,5,5,10,39.5,128.5
1877,1328,69,15,5,10,29.5,128.5
1878,377,68,20,-5,10,35.5,128.5
1879,1451,67,15,-5,10,41.5,128.5
1880,1067,70,10,-5,10,43.5,128.5
1881,615,67,10,0,10,41.5,128.5
1882,783,71,20,-5,0,42.5,128.5
1883,1791,71,20,5,0,32.5,128.5
1884,4600,72,10,0,0,46.5,128.5
1885,1704,70,15,0,0,43.5,128.5
1886,2674,69,10,0,0,49.5,128.5
1887,1847,67,10,15,10,26.0,128.0
1888,1989,69,20,-5,10,34.0,128.0
1889,1055,80,5,0,10,33.0,128.0
1890,4981,69,10,10,0,39.0,128.0
1891,4814,68,15,0,10,35.0,128.0
1892,5119,72,15,-5,0,46.0,128.0
1893,3082,71,15,5,10,27.0,128.0
1894,3039,70,15,0,0,43.0,128.0
1895,2253,65,10,-5,10,48.0,128.0
1896,2454,78,0,0,10,40.0,128.0
1897,5373,71,10,0,10,37.0,128.0
1898,3389,68,20,5,10,25.0,128.0
1899,5649,70,15,5,0,38.0,128.0
1900,3386,71,10,5,0,42.0,128.0
1901,929,71,15,-10,10,42.0,128.0
1902,6179,70,15,0,0,43.0,128.0
1903,2679,67,15,0,10,36.0,128.0
1904,3733,69,15,0,0,44.0,128.0
1905,2360,67,10,-5,10,46.0,128.0
1906,4950,68,10,5,10,35.0,128.0
1907,1231,70,10,5,0,43.0,128.0
1908,3884,70,20,0,0,38.0,128.0
1909,6031,68,15,0,10,35.0,128.0
1910,1656,69,10,0,10,39.0,128.0
1911,3372,70,10,5,10,33.0,128.0
1912,3604,65,15,5,10,33.0,128.0
1913,1399,65,0,5,10,48.0,128.0
1914,4938,69,10,5,10,34.0,128.0
1915,4033,70,20,5,0,33.0,128.0
1916,1507,69,15,0,0,44.0,128.0
1917,1557,69,10,5,10,34.0,128.0
1918,4693,67,0,10,10,41.0,128.0
1919,2420,68,0,10,10,40.0,128.0
1920,2417,64,10,5,0,49.0,128.0
1921,2289,66,0,5,10,47.0,128.0
1922,4593,69,20,0,10,29.0,128.0
1923,6308,70,10,0,0,48.0,128.0
1924,3710,70,20,0,0,38.0,128.0
1925,2098,68,0,10,10,40.0,128.0
1926,4453,69,0,10,10,39.0,128.0
1927,687,67,5,0,10,46.0,128.0
1928,2642,68,0,10,10,40.0,128.0
1929,2768,67,5,0,10,46.0,128.0
1930,458,65,15,5,10,33.0,128.0
1931,4098,71,10,5,10,32.0,128.0
1932,5813,65,0,10,10,43.0,128.0
1933,5791,68,0,10,10,40.0,128.0
1934,2773,66,5,5,10,42.0,128.0
1935,5526,70,10,5,10,33.0,128.0
1936,197,67,10,5,10,36.0,128.0
1937,3481,68,20,5,0,35.0,128.0
1938,6068,69,20,0,0,39.0,128.0
1939,1764,68,10,0,10,40.0,128.0
1940,138,71,20,5,0,32.0,128.0
1941,1588,70,10,5,10,33.0,128.0
1942,161,66,5,0,10,47.0,128.0
1943,1773,68,10,0,0,50.0,128.0
1944,2196,63,0,10,10,45.0,128.0
1945,3360,63,5,5,10,45.0,128.0
1946,5833,69,10,-10,10,49.0,128.0
1947,5483,70,5,-5,10,48.0,128.0
1948,1924,71,20,-15,10,42.0,128.0
1949,3461,69,15,10,0,34.0,128.0
1950,6202,63,5,10,10,40.0,128.0
1951,3357,70,10,5,10,33.0,128.0
1952,728,68,5,5,0,50.0,128.0
1953,3470,69,10,0,0,49.0,128.0
1954,2632,71,10,0,10,37.0,128.0
1955,733,68,10,-5,10,45.0,128.0
1956,167,71,15,10,0,32.0,128.0
1957,1805,68,10,10,10,30.0,128.0
1958,1953,63,5,5,10,45.0,128.0
1959,498,68,15,5,10,30.0,128.0
1960,4275,66,10,-5,10,47.0,128.0
1961,2044,65,10,5,10,38.0,128.0
1962,5908,66,0,10,10,42.0,128.0
1963,3276,68,20,5,0,35.0,128.0
1964,4174,70,15,-5,0,48.0,128.0
1965,6100,70,10,15,0,33.0,128.0
1966,4237,66,0,5,10,47.0,128.0
1967,4418,68,20,5,0,34.5,127.5
1968,861,72,10,5,10,30.5,127.5
1969,2223,70,20,-5,10,32.5,127.5
1970,3547,68,10,5,0,44.5,127.5
1971,963,71,10,5,0,41.5,127.5
1972,3594,66,0,5,10,46.5,127.5
1973,5294,65,0,10,10,42.5,127.5
1974,5292,70,20,5,0,32.5,127.5
1975,321,69,10,0,10,38.5,127.5
1976,4604,71,15,-5,0,46.5,127.5
1977,2238,68,10,5,10,34.5,127.5
1978,1024,72,20,-5,0,40.5,127.5
1979,5451,67,15,10,10,25.5,127.5
1980,3807,68,10,0,10,39.5,127.5
1981,4060,69,20,0,10,28.5,127.5
1982,1922,68,5,5,0,49.5,127.5
1983,4,70,15,0,10,32.5,127.5
1984,5464,71,20,5,0,31.5,127.5
1985,2998,70,15,0,10,32.5,127.5
1986,5977,67,5,10,10,35.5,127.5
1987,6359,70,10,0,0,47.5,127.5
1988,1256,67,0,10,10,40.5,127.5
1989,2489,66,5,5,10,41.5,127.5
1990,767,66,0,10,10,41.5,127.5
1991,3630,68,0,15,10,34.5,127.5
1992,3645,66,10,-5,10,46.5,127.5
1993,5498,72,20,0,10,25.5,127.5
1994,5194,67,15,-5,10,40.5,127.5
1995,1907,69,5,5,0,48.5,127.5
1996,2471,70,15,5,10,27.5,127.5
1997,3243,67,15,10,0,35.5,127.5
1998,3244,67,10,-5,10,45.5,127.5
1999,3972,70,15,0,0,42.5,127.5
2000,1706,70,10,5,10,32.5,127.5
2001,1131,69,20,10,0,28.5,127.5
2002,333,71,5,5,10,36.5,127.5
2003,803,72,20,0,0,35.5,127.5
2004,1085,67,5,10,0,45.5,127.5
2005,3911,72,5,5,10,35.5,127.5
2006,4944,72,10,0,10,35.5,127.5
2007,1190,69,20,0,0,38.5,127.5
2008,2740,73,10,-15,10,49.5,127.5
2009,1681,69,5,5,10,38.5,127.5
2010,1438,72,10,0,10,35.5,127.5
2011,5079,65,5,15,0,42.5,127.5
2012,452,67,0,5,10,45.5,127.5
2013,480,71,15,0,10,31.5,127.5
2014,1387,72,20,0,0,35.5,127.5
2015,3851,68,15,5,0,39.5,127.5
2016,422,67,0,5,10,45.5,127.5
2017,3251,70,10,-5,10,42.5,127.5
2018,1167,68,10,5,10,34.5,127.5
2019,4338,66,5,0,10,46.5,127.5
2020,2036,66,5,10,10,36.5,127.5
2021,4368,68,10,0,10,39.5,127.5
2022,626,68,15,0,0,44.5,127.5
2023,4509,71,20,5,0,31.5,127.5
2024,3343,71,15,5,10,26.5,127.5
2025,2663,69,5,0,10,43.5,127.5
2026,5713,68,10,10,0,39.5,127.5
2027,4843,68,10,0,10,39.5,127.5
2028,222,66,0,10,10,41.5,127.5
2029,5576,67,10,10,10,30.5,127.5
2030,706,69,10,10,10,28.5,127.5
2031,4539,69,5,5,0,48.5,127.5
2032,3838,68,10,0,10,39.5,127.5
2033,3396,68,5,0,10,44.5,127.5
2034,2808,68,10,0,10,39.5,127.5
2035,4131,65,10,5,10,37.5,127.5
2036,2729,71,5,0,10,41.5,127.5
2037,4220,68,10,-5,10,44.5,127.5
2038,1301,70,15,15,0,27.5,127.5
2039,3755,66,15,-10,10,46.5,127.5
2040,521,69,10,10,10,28.5,127.5
2041,2000,71,20,0,10,26.5,127.5
2042,1345,72,10,10,0,35.5,127.5
2043,61,68,10,-5,10,44.0,127.0
2044,3050,68,10,5,0,44.0,127.0
2045,4541,65,0,5,10,47.0,127.0
2046,5662,64,15,5,10,33.0,127.0
2047,3190,66,20,5,0,36.0,127.0
2048,6165,68,20,-10,10,39.0,127.0
2049,5269,68,10,10,0,39.0,127.0
2050,4036,70,10,-5,10,42.0,127.0
2051,4323,69,5,5,10,38.0,127.0
2052,2728,68,15,0,10,34.0,127.0
2053,1021,69,15,5,10,28.0,127.0
2054,1732,67,0,0,10,50.0,127.0
2055,2581,72,15,0,0,40.0,127.0
2056,5382,67,15,5,10,30.0,127.0
2057,5763,68,5,0,10,44.0,127.0
2058,6249,69,10,0,0,48.0,127.0
2059,3785,71,20,0,10,26.0,127.0
2060,5442,72,10,-5,10,40.0,127.0
2061,5007,67,10,0,10,40.0,127.0
2062,546,84,5,0,10,28.0,127.0
2063,554,66,10,5,0,46.0,127.0
2064,832,68,5,5,0,49.0,127.0
2065,927,68,0,0,10,49.0,127.0
2066,578,67,5,5,10,40.0,127.0
2067,2703,69,10,10,10,28.0,127.0
2068,4956,67,5,0,10,45.0,127.0
2069,2559,68,10,0,0,49.0,127.0
2070,2724,64,0,5,10,48.0,127.0
2071,549,69,10,5,10,33.0,127.0
2072,542,69,15,10,0,33.0,127.0
2073,173,69,10,5,0,43.0,127.0
2074,1947,67,10,10,0,40.0,127.0
2075,6317,64,10,0,10,43.0,127.0
2076,4545,70,10,0,0,47.0,127.0
2077,193,72,5,0,0,50.0,127.0
2078,5142,65,10,0,10,42.0,127.0
2079,2790,69,15,0,10,33.0,127.0
2080,1524,65,0,15,0,47.0,127.0
2081,4836,67,0,5,10,45.0,127.0
2082,235,69,15,-5,0,48.0,127.0
2083,4816,67,0,10,10,40.0,127.0
2084,13,66,10,5,10,36.0,127.0
2085,2299,69,10,5,10,33.0,127.0
2086,3194,70,20,0,10,27.0,127.0
2087,3512,67,10,5,10,35.0,127.0
2088,6073,64,0,10,10,43.0,127.0
2089,1363,71,10,5,0,41.0,127.0
2090,5945,67,0,10,10,40.0,127.0
2091,4750,66,10,0,10,41.0,127.0
2092,280,68,0,10,10,39.0,127.0
2093,5871,66,5,0,10,46.0,127.0
2094,5835,70,10,0,0,47.0,127.0
2095,6148,69,5,0,10,43.0,127.0
2096,4024,67,10,10,0,40.0,127.0
2097,3722,67,20,-5,10,35.0,127.0
2098,5173,67,0,0,10,50.0,127.0
2099,5505,69,10,5,10,33.0,127.0
2100,5169,66,5,5,10,41.0,127.0
2101,744,69,15,0,10,33.0,127.0
2102,2108,69,5,-5,10,48.0,127.0
2103,4487,66,5,0,10,46.0,127.0
2104,631,70,20,0,10,27.0,127.0
2105,3847,69,5,0,10,43.0,127.0
2106,1156,70,5,10,0,42.0,127.0
2107,2538,69,20,10,0,28.0,127.0
2108,2610,70,15,-5,0,47.0,127.0
2109,2929,68,10,0,10,39.0,127.0
2110,4077,67,20,0,10,30.0,127.0
2111,5904,68,5,5,10,39.0,127.0
2112,3943,71,10,10,10,25.5,126.5
2113,4674,68,20,-10,10,38.5,126.5
2114,2788,71,10,-5,10,40.5,126.5
2115,5867,67,15,10,0,34.5,126.5
2116,470,68,20,-5,10,33.5,126.5
2117,4703,63,5,5,10,43.5,126.5
2118,5404,66,5,5,10,40.5,126.5
2119,2212,70,20,-10,10,36.5,126.5
2120,1871,69,20,0,0,37.5,126.5
2121,3799,84,0,5,10,27.5,126.5
2122,599,71,10,-5,10,40.5,126.5
2123,2276,70,20,5,0,31.5,126.5
2124,1513,66,5,0,10,45.5,126.5
2125,1418,71,15,0,10,30.5,126.5
2126,4564,70,20,10,0,26.5,126.5
2127,482,70,10,0,10,36.5,126.5
2128,409,68,0,10,0,48.5,126.5
2129,5578,67,5,0,10,44.5,126.5
2130,3315,68,5,0,10,43.5,126.5
2131,3812,66,0,5,10,45.5,126.5
2132,5947,68,5,10,0,43.5,126.5
2133,298,66,5,5,10,40.5,126.5
2134,719,65,5,0,10,46.5,126.5
2135,6044,73,20,0,0,33.5,126.5
2136,2649,65,5,0,10,46.5,126.5
